input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
BDR,BDR,Navigation aid,BRIDGEPORT,41.16070566,-73.1244863,US,CT,BRIDGEPORT,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
BDR,BDR,Navigation aid,BRIDGEPORT,41.16138888,-73.12583333,US,CT,BRIDGEPORT,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
BEATS,BEATS,Fix / reporting point / waypoint,,34.65986388,-87.68661111,US,AL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
BIGGY,BIGGY,Fix / reporting point / waypoint,,40.41961666,-74.97270277,US,NJ,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID"
BITHO,BITHO,Fix / reporting point / waypoint,,28.63094166,-81.05940833,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=ENROUTE HIGH,ENROUTE LOW,STAR"
BIZEX,BIZEX,Fix / reporting point / waypoint,,41.28412777,-73.58061111,US,NY,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
BLD,BLD,Navigation aid,BOULDER CITY,35.99579022,-114.86357888,US,NV,BOULDER CITY,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
BLH,BLH,Airport / landing facility,BLYTHE,33.61916666,-114.71688888,US,CA,BLYTHE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
BLH,BLH,Navigation aid,BLYTHE,33.59606463,-114.76127336,US,CA,BLYTHE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
BLISS,BLISS,Fix / reporting point / waypoint,,40.3274,-81.97271944,US,OH,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
